Programming name,Short name,Long name,Long name (FR),Category,Subcategory,Set,Unit_ref,Color
OIL_TANKER_BIOMEOH,Oil tanker BioMethanol,BioMethanol-Powered Oil Tanker Ship,Pétrolier au biométhanol,Freight transport,Maritime,CA,tkm/h,#C62A68
CARBON_CAPTURE_AMINES,Carbon Capture using Amines,Post-Combustion Carbon Capture using Amines,Captage de CO2 en postcombustion par amines,CCUS,Capture,,ktCO2_eq/h,#B3DFE9
CARBON_CAPTURE_MEMBRANES,Carbon Capture using Membranes,Post-Combustion Carbon Capture using Membranes,Captage de CO2 en postcombustion par membranes,CCUS,Capture,,ktCO2_eq/h,#164E63
CARBON_CAPTURE_MOF,Carbon Capture using MOFs,Post-Combustion Carbon Capture using MOFs,Captage de CO2 en postcombustion par MOF,CCUS,Capture,,ktCO2_eq/h,#BCE3EB
CARBON_TRANSPORT_INJECTION,Carbon Transport and Injection,Carbon Transport and Injection,Transport et injection de CO2,CCUS,Storage,,ktCO2_eq/h,#22D3EE
CARBON_MINERALIZATION,Carbon Mineralization,Carbon Mineralization,Minéralisation du carbone,CCUS,Storage,,ktCO2_eq/h,#0E7490
BIOMASS_FORESTRY_UNEXPLOITED,Unharvested wood,Unharvested wood,Bois non récolté,Resource,Resource,CA,kWh,#5EBA80
BIOMASS_FORESTRY_RESIDUAL,Residual forest biomass,Residual forest biomass,Biomasse forestière résiduelle,Resource,Resource,CA,kWh,#49AA6C
BIOMASS_FORESTRY_LEFTOVER1,By-products from primary processing,By-products from primary processing,Coproduits du traitement primaire,Resource,Resource,CA,kWh,#265939
BIOMASS_FORESTRY_LEFTOVER2,By-products from secondary processing,By-products from secondary processing,Coproduits du traitement secondaire,Resource,Resource,CA,kWh,#32744A
BIOMASS_AGRICULTURE_DEJECTION,Animal manure,Animal manure,Fumier animal,Resource,Resource,CA,kWh,#6F4C2A
BIOMASS_AGRICULTURE_RESIDUAL,Crop production and residues,Crop production and residues,Production agricole et résidus de cultures,Resource,Resource,CA,kWh,#946638
BIOMASS_WASTE_ORGANIC,"Food waste, green waste, and other organic matter","Food waste, green waste, and other organic matter","Déchets alimentaires, déchets verts et autres matières organiques",Resource,Resource,CA,kWh,#A6733F
BIOMASS_WASTE_PAPER,Paper and cardboard,Paper and cardboard,Papier et carton,Resource,Resource,CA,kWh,#C08C59
BIOMASS_WASTE_PAPER_FABRIC,Pulp and paper mill residues,Pulp and paper mill residues,Résidus de papeteries,Resource,Resource,CA,kWh,#C7996B
BIOMASS_WASTE_BUILDING,"Construction, renovation, and demolition wood waste","Construction, renovation, and demolition wood waste","Déchets de bois de construction, rénovation et démolition",Resource,Resource,CA,kWh,#3D8F5B
BIOMASS_WASTE_MUNICIPAL,Municipal sludge,Municipal sludge,Boues municipales,Resource,Resource,CA,kWh,#B98046
IMP_NG_EHP,NG import,Natural gas imports,Importations de gaz naturel,IMP,Import,,kW,
IMP_LFO,LFO import,Light fuel oil imports,Importations de fioul léger,IMP,Import,,kW,
IMP_HFO,HFO import,Heavy fuel oil imports,Importations de fioul lourd,IMP,Import,,kW,
IMP_COAL,Coal import,Coal imports,Importations de charbon,IMP,Import,,kW,
IMP_DIESEL,Diesel import,Diesel imports,Importations de diesel,IMP,Import,,kW,
IMP_GASOLINE,Gasoline import,Gasoline imports,Importations d'essence,IMP,Import,,kW,
IMP_BIO_ETHANOL,Bio-ethanol import,Bio-ethanol imports,Importations de bio-éthanol,IMP,Import,,kW,
IMP_METHANOL,Methanol import,Methanol imports,Importations de méthanol,IMP,Import,,kW,
IMP_JETFUEL,Jet fuel import,Jet fuel imports,Importations de carburant aviation,IMP,Import,,kW,
IMP_PROPANE,Propane import,Propane imports,Importations de propane,IMP,Import,,kW,
IMP_ELECTRICITY_EHV,Electricity import,Electricity imports,Importations d'électricité,IMP,Import,,kW,
RES_HYDRO,Hydro potential,Hydro potential,Potentiel hydraulique,RES,Renewable,,kW,
RES_SOLAR,Solar potential,Solar potential,Potentiel solaire,RES,Renewable,,kW,
RES_WIND_ONSHORE,Wind potential (onshore),Onshore wind potential,Potentiel éolien terrestre,RES,Renewable,,kW,
RES_WIND_OFFSHORE,Wind potential (offshore),Offshore wind potential,Potentiel éolien en mer,RES,Renewable,,kW,
RES_GEO,Geothermal potential,Geothermal potential,Potentiel géothermique,RES,Renewable,,kW,
EUD_HEAT_HIGH_T,High-T heat demand,High temperature heat demand,Demande en chaleur haute température,EUD,End-use demand,,kW,
EUD_HEAT_LOW_T_SH,Low-T SH demand,Low temperature space heating demand,Demande en chaleur basse température (chauffage),EUD,End-use demand,,kW,
EUD_HEAT_LOW_T_HW,Low-T HW demand,Low temperature hot water demand,Demande en chaleur basse température (eau chaude),EUD,End-use demand,,kW,
EUD_HEAT_LOW_T_SC,SC demand,Space cooling demand,Demande en froid (climatisation),EUD,End-use demand,,kW,
EUD_ELECTRICITY_HV,HV electricity demand,High voltage electricity demand,Demande en électricité haute tension,EUD,End-use demand,,kW,
EUD_ELECTRICITY_MV,MV electricity demand,Medium voltage electricity demand,Demande en électricité moyenne tension,EUD,End-use demand,,kW,
EUD_ELECTRICITY_LV,LV electricity demand,Low voltage electricity demand,Demande en électricité basse tension,EUD,End-use demand,,kW,
EUD_ELECTRICITY_EHV,EHV electricity demand,Extra high voltage electricity demand,Demande en électricité très haute tension,EUD,End-use demand,,kW,
EUD_ELECTRICITY_EHV_EXPORT,EHV elec. export,Extra high voltage electricity export,Exportation d'électricité très haute tension,EUD,End-use demand,,kW,
EUD_LIGHTING,Lighting demand,Lighting electricity demand,Demande en électricité pour l'éclairage,EUD,End-use demand,,kW,
INDUSTRY,Industry,Industry sector,Industrie,Sectors,End-use sector,,kW,
HOUSEHOLDS,Households,Households sector,Résidentiel,Sectors,End-use sector,,kW,
SERVICES,Services,Services sector,Services,Sectors,End-use sector,,kW,
AGRICULTURE,Agriculture,Agriculture sector,Agriculture,Sectors,End-use sector,,kW,
MOBILITY_FREIGHT,Freight mobility,Freight mobility sector,Mobilité des marchandises,Sectors,End-use sector,,Gpkm/y,
MOBILITY_PASSENGER,Passenger mobility,Passenger mobility sector,Mobilité des personnes,Sectors,End-use sector,,Gpkm/y,
BOILER,Boiler,Boiler,Chaudière,Technology,Heat production,,kW,
COGEN,Cogeneration,Cogeneration,Cogénération,Technology,Cogeneration,,kW,
ELECTRICITY,Electricity,Electricity,Électricité,Technology,Electricity,,kW,
HEAT_LOW_T,Low-T heat,Low temperature heat,Chaleur (basse température),Technology,Heat,,kW,
HP,Heat pump,Heat pump,Thermopompe,Technology,Heat production,,kW,
DIRECT_ELEC,Direct electricity,Direct electricity usage,Électricité directe,Technology,Electricity,,kW,
NG,Natural gas carrier,Natural gas carrier,Gaz naturel,Technology,Gas,,kW,
PV,Photovoltaic,Photovoltaic,Photovoltaïque,Technology,Electricity,,kW,
CAR,Car,Car,Voiture,Technology,Passenger mobility,,Gpkm/y,
SUV,SUV,SUV,VUS,Technology,Passenger mobility,,Gpkm/y,
BUS,Bus,Bus,Autobus,Technology,Passenger mobility,,Gpkm/y,
COACH,Coach,Coach,Autocar,Technology,Passenger mobility,,Gpkm/y,
COMMUTER,Commuter train,Commuter train,Train de banlieue,Technology,Passenger mobility,,Gpkm/y,
TRAIN,Train,Train,Train,Technology,Passenger mobility,,Gpkm/y,
SCHOOLBUS,School bus,School bus,Autobus scolaire,Technology,Passenger mobility,,Gpkm/y,
LCV,Light commercial vehicle,Light commercial vehicle,Véhicule utilitaire léger,Technology,Freight mobility,,Gpkm/y,
SEMI,Semi-trailer truck,Semi-trailer truck,Semi-remorque,Technology,Freight mobility,,Gpkm/y,
SHIP,Ship,Ship,Navire,Technology,Freight mobility,,Gpkm/y,
HEAT_WASTE,Heat waste,Heat waste,Chaleur résiduelle,Heat production,,,kW,#7D3F36
ELEC_EXPORT_EHV,Electricity export,Electricity export,Export d'électricité,Export,,,kW,
HEAT_LOW_T_HW,Low T heat for hot water,Low T heat for hot water,Chaleur basse température (eau chaude),EUD type,,,kW,
HEAT_LOW_T_SC,Space cooling,Space cooling,Climatisation,EUD type,,,kW,
HEAT_LOW_T_SH,Low T heat for space heating,Low T heat for space heating,Chaleur basse température (chauffage),EUD type,,,kW,
LIGHTING,Lighting,Lighting,Éclairage,EUD type,,,kW,
MOBILITY_PASSENGER_LD,Passenger mobility (long distance),Passenger mobility (long distance),Mobilité de personnes (longue distance),EUD type,,,pkm/h,
MOBILITY_PASSENGER_MD,Passenger mobility (medium distance),Passenger mobility (medium distance),Mobilité de personnes (medium distance),EUD type,,,pkm/h,
MOBILITY_PASSENGER_SD,Passenger mobility (short distance),Passenger mobility (short distance),Mobilité de personnes (short distance),EUD type,,,pkm/h,
MOBILITY_FREIGHT_ELD,Freight mobility (very long distance),Freight mobility (very long distance),Mobilité de biens (très longue distance),EUD type,,,tkm/h,
MOBILITY_FREIGHT_LD,Freight mobility (long distance),Freight mobility (long distance),Mobilité de biens (longue distance),EUD type,,,tkm/h,
MOBILITY_FREIGHT_MD,Freight mobility (medium distance),Freight mobility (medium distance),Mobilité de biens (moyenne distance),EUD type,,,tkm/h,
MOBILITY_FREIGHT_SD,Freight mobility (short distance),Freight mobility (short distance),Mobilité de biens (courte distance),EUD type,,,tkm/h,
ELECTRICITY_EHV_EXPORT,Electricity exports,Electricity exports,Exports d'électricité,EUD type,,,kW,
BIO_LFO,Bio-oil,Bio-oil,Bio-oil,Resource,Resource,,kWh,#5C6B2E
BIO_JETFUEL,Bio-jetfuel,Bio-jetfuel,Biocarburant d'aviation,Resource,Resource,,kWh,#F7E8BA
BIO_HFO,Biofuel for ships,Biofuel for ships,Biocarburant pour bateaux,Resource,Resource,,kWh,#E2A336
BIO_METHANOL,Bio-methanol,Bio-methanol,Bio-methanol,Resource,Resource,,kWh,#931F4E
TRANSPORTATION,Transportation,Transportation,Transport,EUD type,,,,
EXPORT,Exports,Exports,Exports,EUD type,,,,
DIESEL_S,Diesel (stored),Diesel (stored),Diesel (stock),,,,kWh,
GASOLINE_S,Gasoline (stored),Gasoline (stored),Essence (stock),,,,kWh,
ELEC_S,Electricity (stored),Electricity (stored),Electricité (stock),,,,kWh,
NG_S,Natural gas (stored),Natural gas (stored),Gaz natural (stock),,,,kWh,
H2_S,Hydrogen (stored),Hydrogen (stored),Hydrogène (stock),,,,kWh,
SNG_S,Synthetic natural gas (stored),Synthetic natural gas (stored),Gaz naturel synthétique (stock),,,,kWh,
H2,Hydrogen,Hydrogen,Hydrogène,Flow,,,kWh,
